2023-11-23,Use a carbon fee to share the burden of the green transition | Letters,https://www.theguardian.com/environment/2023/nov/22/use-a-carbon-fee-to-share-the-burden-of-the-green-transition
2023-11-23,Hopes for a permanent ceasefire in Gaza and Israel | Letters ,https://www.theguardian.com/world/2023/nov/22/hopes-for-a-permanent-ceasefire-in-gaza-and-israel
2023-09-14,The Guardian view on voter ID and turnout: critics were right about this cynical manoeuvre | Editorial,https://www.theguardian.com/commentisfree/2023/sep/13/the-guardian-view-on-voter-id-and-turnout-critics-were-right-about-this-cynical-manoeuvre
2023-09-13,"Tech giants hold huge sway in matters of war, life and death. That should concern us all | Keir Giles",https://www.theguardian.com/commentisfree/2023/sep/12/tech-giants-war-elon-musk-ukraine-starlink
2023-08-15,"Yes, rebuild the Crooked House brick by brick – and buttress local planning, too | Simon Jenkins",https://www.theguardian.com/commentisfree/2023/aug/14/rebuild-crooked-house-local-planning-communities-assets-pubs-developers
2023-08-01,All I want is a job with a decent amount of hours – why is that so hard to find? | Sharron Spice,https://www.theguardian.com/commentisfree/2023/jul/31/job-hours-rising-prices
2023-08-01,Art can move us powerfully towards civic activism on climate | Letter,https://www.theguardian.com/environment/2023/jul/31/art-can-move-us-powerfully-towards-civic-activism-on-climate
2023-08-01,Twenty renters fighting over each flat in Britain? I worry I’ll never find a place to call home | Anonymous,https://www.theguardian.com/commentisfree/2023/jul/27/twenty-renters-flat-britain-home-landlords-agents-tenants
2023-08-01,We must bridge the gap between local councils and the Whitehall elite | Letters,https://www.theguardian.com/society/2023/jul/30/we-must-bridge-the-gap-between-local-councils-and-the-whitehall-elite
2023-08-01,Rail ticket office closures put us on track for social isolation | Letters,https://www.theguardian.com/society/2023/jul/30/rail-ticket-office-closures-put-us-on-track-for-social-isolation
2023-07-28, El Salvador clears way for mass trials as crackdown on gangs ramps up,https://www.theguardian.com/world/2023/jul/27/el-salvador-nayib-bukele-gangs-mass-trials
2023-07-28,Letters: Peter Westland obituary,https://www.theguardian.com/society/2023/jul/27/letter-peter-westland-obituary
2023-07-27,Bite the air in Britain and you can taste the prejudices that haunt us. I’m sorry I became part of it | Martin Rowson,https://www.theguardian.com/commentisfree/2023/jul/26/britain-prejudices-cartoon-antisemitic-tropes
2023-07-27,"Yes, I leave texts unanswered – but don’t you dare do the same to me | Zoe Williams",https://www.theguardian.com/commentisfree/2023/jul/25/yes-i-leave-texts-unanswered-but-dont-you-dare-do-the-same-to-me
